#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
CC|BRSP||HHZ|45.40155|-121.70843|2079.03|1.0|0.0|-90.0|Velocity Sensor|2.996399937250499E8|1.0|m/s|100.0|2026-07-02T17:54:40.0000|
CC|CARB||HHZ|46.98832|-122.00541|872.47|0.0|0.0|-90.0|Velocity Sensor|3.017199936814913E8|1.0|m/s|100.0|2026-08-11T23:02:00.0000|
CC|CRBN||HHZ|46.988155|-121.961026|500.08|1.0|0.0|-90.0|Velocity Sensor|3.017199936814913E8|1.0|m/s|100.0|2026-08-11T22:14:00.0000|
CC|CRYS||HHZ|46.93441|-121.50026|2027.15|1.0|0.0|-90.0|Velocity Sensor|3.017199936814913E8|1.0|m/s|100.0|2025-09-11T00:00:00.0000|
CC|ELBE||HHZ|46.76645|-122.19329|386.0|1.0|0.0|-90.0|Velocity Sensor|3.0171999640766555E8|1.0|m/s|100.0|2026-08-11T21:12:10.0000|
CC|FLAT||HHZ|46.18951|-122.35646|0.0|1.0|0.0|-90.0|Velocity Sensor|3.0171999640766555E8|1.0|m/s|100.0|2026-08-11T21:03:00.0000|
CC|GRWR||HHZ|47.11343|-121.61437|589.68|1.0|0.0|-90.0|Velocity Sensor|3.0171999640766555E8|1.0|m/s|100.0|2025-09-09T00:00:00.0000|
CC|GTWY||HHZ|46.740163|-121.916765|617.235|1.0|0.0|-90.0|Velocity Sensor|2.996399937250499E8|1.0|m/s|100.0|2026-08-11T22:00:00.0000|
CC|HIYU||HHZ|45.43523|-121.807396|1418.0|0.0|0.0|-90.0|Velocity Sensor|3.017199936814913E8|1.0|m/s|100.0|2026-07-02T18:04:00.0000|
CC|HOA||HHZ|46.24178|-122.19183|1151.0|1.0|0.0|-90.0|Velocity Sensor|3.017199936814913E8|1.0|m/s|100.0|2026-07-14T20:14:00.0000|
CC|HORC||HHZ|46.057765|-121.539055|829.1|1.0|0.0|-90.0|Velocity Sensor|3.0172E8|1.0|m/s|100.0|2024-10-09T00:00:00.0000|
CC|JRO||HHZ|46.27527|-122.21826|1219.0|1.0|0.0|-90.0|Velocity Sensor|3.0171999640766555E8|1.0|m/s|100.0|2020-05-27T00:00:00.0000|
CC|KAUT||HHZ|46.730263|-121.85739|689.0|0.0|0.0|-90.0|Velocity Sensor|2.996399937250499E8|1.0|m/s|100.0|2026-08-11T22:07:30.0000|
CC|KAVK||HHZ|46.7605|-122.03857|532.0|1.0|0.0|-90.0|Velocity Sensor|3.0171999640766555E8|1.0|m/s|100.0|2026-08-11T21:19:14.0000|
CC|LOO||HHZ|46.22375|-122.18439|1521.35|1.0|0.0|-90.0|Velocity Sensor|2.996399937250499E8|1.0|m/s|100.0|2026-07-14T20:18:00.0000|
CC|LSON||HHZ|45.3596|-121.64719|1880.0|1.0|0.0|-90.0|Velocity Sensor|3.017199936814913E8|1.0|m/s|100.0|2026-07-02T17:44:00.0000|
CC|MAR||HHZ|46.28532|-122.29667|679.27|1.0|0.0|-90.0|Velocity Sensor|3.017199936814913E8|1.0|m/s|100.0|2026-07-14T20:54:00.0000|
CC|MHX||HHZ|45.34451|-121.67287|2003.82|1.0|0.0|-90.0|Velocity Sensor|3.0172E8|1.0|m/s|100.0|2025-07-30T12:00:00.0000|
